clueFinal,Acc,row_id,Level,wordpair_id,target1,target2,words_in_patch_num_unique,patchsize,words_in_patch_glove,words_in_patch_swow,Similar Words (glove),Similar Words Size (glove),Dissimilar Words (glove),Dissimilar Words Size (glove),Overlap Similarity (glove),Similar Words (swow),Similar Words Size (swow),Dissimilar Words (swow),Dissimilar Words Size (swow),Overlap Similarity (swow)
acai,0,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,12,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
spherical,1,42,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
circle,0,72,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,0,102,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
warm,1,132,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
salad,0,162,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
cereal,0,192,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
round,1,222,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
hot,0,252,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26,"ball,sky,Super Bowl,sunlight,rain,bowling,dry,cold,usually,moon,could,bright,earth,pot,throw,flower,solar,warm,straight,toss,shade,golden,even,bat,hence,shower","saucer,spoon,plate,pot,bowls,saucepan,tea,dish,pots,ladle,rice,crockery,soup,kitchen,cup,cooking,teapot,cook,wok,breakfast,pan,fork,cups,sunshine,utensils,ceramic","sky,warm",2,"brunch,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",24,0.07692307692307693,"breakfast,plate,soup,sunshine,ceramic",5,"brunch,warm,hot,strawberry,round,summer,football,ice cream,circular,evaporate,sky,circle,cereal,star,daystar,salsa,light,Aztecs,weather,yellow,Aztec",21,0.19230769230769232
